gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
8,expedited,1,34,0.043,11,8
8,expedited,1,35,0.020,11,8
8,expedited,1,36,0.020,10,8
8,expedited,1,37,0.022,11,8
8,expedited,1,38,0.021,11,8
8,expedited,1,39,0.019,11,8
8,expedited,1,40,0.020,11,8
16,expedited,1,1,0.022,13,16
16,expedited,1,2,0.019,13,16
16,expedited,1,3,0.021,14,16
16,expedited,1,4,0.021,13,16
16,expedited,1,5,0.019,12,16
16,expedited,1,6,0.021,13,16
16,expedited,1,7,0.046,14,16
16,expedited,1,8,0.021,14,16
16,expedited,1,9,0.021,14,16
16,expedited,1,10,0.020,12,16
16,expedited,1,11,0.063,14,16
16,expedited,1,12,0.068,13,16
16,expedited,1,13,0.018,14,16
16,expedited,1,14,0.023,14,16
16,expedited,1,15,0.022,14,16
16,expedited,1,16,0.020,13,16
16,expedited,1,17,0.025,14,16
16,expedited,1,18,0.069,13,16
16,expedited,1,19,0.020,16,16
16,expedited,1,20,0.022,13,16
16,expedited,1,21,0.022,15,16
16,expedited,1,22,0.020,14,16
16,expedited,1,23,0.020,14,16
16,expedited,1,24,0.021,12,16
16,expedited,1,25,0.022,14,16
16,expedited,1,26,0.019,15,16
16,expedited,1,27,0.022,15,16
16,expedited,1,28,0.022,14,16
16,expedited,1,29,0.019,16,16
16,expedited,1,30,0.024,14,16
16,expedited,1,31,0.022,14,16
16,expedited,1,32,0.024,14,16
16,expedited,1,33,0.023,13,16
16,expedited,1,34,0.022,13,16
16,expedited,1,35,0.023,13,16
16,expedited,1,36,0.019,13,16
16,expedited,1,37,0.021,13,16
16,expedited,1,38,0.020,13,16
16,expedited,1,39,0.021,13,16
16,expedited,1,40,0.020,13,16
32,expedited,1,1,0.024,14,32
32,expedited,1,2,0.021,15,32
32,expedited,1,3,0.021,14,32
32,expedited,1,4,0.021,13,32
32,expedited,1,5,0.020,15,32
32,expedited,1,6,0.018,14,32
32,expedited,1,7,0.019,14,32
32,expedited,1,8,0.024,14,32
32,expedited,1,9,0.021,14,32
32,expedited,1,10,0.022,13,32
32,expedited,1,11,0.022,15,32
32,expedited,1,12,0.022,15,32
32,expedited,1,13,0.047,14,32
32,expedited,1,14,0.023,14,32
32,expedited,1,15,0.020,15,32
32,expedited,1,16,0.023,14,32
32,expedited,1,17,0.024,14,32
32,expedited,1,18,0.019,14,32
32,expedited,1,19,0.020,14,32
32,expedited,1,20,0.018,14,32
32,expedited,1,21,0.021,14,32
32,expedited,1,22,0.021,13,32
32,expedited,1,23,0.025,14,32
32,expedited,1,24,0.020,14,32
32,expedited,1,25,0.022,15,32
32,expedited,1,26,0.021,14,32
32,expedited,1,27,0.020,15,32
32,expedited,1,28,0.024,15,32
32,expedited,1,29,0.022,14,32
32,expedited,1,30,0.024,15,32
32,expedited,1,31,0.019,15,32
32,expedited,1,32,0.023,15,32
32,expedited,1,33,0.027,14,32
32,expedited,1,34,0.023,13,32
32,expedited,1,35,0.019,14,32
32,expedited,1,36,0.022,15,32
32,expedited,1,37,0.020,15,32
32,expedited,1,38,0.020,13,32
32,expedited,1,39,0.022,14,32
32,expedited,1,40,0.022,14,32
64,expedited,1,1,0.020,14,64
64,expedited,1,2,0.035,14,64
64,expedited,1,3,0.019,14,64
64,expedited,1,4,0.022,15,64
64,expedited,1,5,0.021,13,64
64,expedited,1,6,0.020,14,64
64,expedited,1,7,0.022,14,64
64,expedited,1,8,0.020,14,64
64,expedited,1,9,0.021,14,64
64,expedited,1,10,0.018,14,64
64,expedited,1,11,0.020,14,64
64,expedited,1,12,0.019,13,64
64,expedited,1,13,0.022,14,64
64,expedited,1,14,0.021,14,64
64,expedited,1,15,0.022,13,64
64,expedited,1,16,0.023,14,64
64,expedited,1,17,0.018,14,64
64,expedited,1,18,0.019,15,64
64,expedited,1,19,0.023,13,64
64,expedited,1,20,0.018,14,64
64,expedited,1,21,0.019,14,64
64,expedited,1,22,0.020,14,64
64,expedited,1,23,0.018,15,64
64,expedited,1,24,0.022,14,64
64,expedited,1,25,0.019,16,64
64,expedited,1,26,0.019,14,64
64,expedited,1,27,0.020,16,64
64,expedited,1,28,0.020,16,64
64,expedited,1,29,0.027,15,64
64,expedited,1,30,0.025,15,64
64,expedited,1,31,0.018,14,64
64,expedited,1,32,0.022,15,64
64,expedited,1,33,0.022,14,64
64,expedited,1,34,0.020,14,64
64,expedited,1,35,0.025,14,64
64,expedited,1,36,0.021,14,64
64,expedited,1,37,0.024,13,64
64,expedited,1,38,0.021,14,64
64,expedited,1,39,0.020,15,64
64,expedited,1,40,0.020,15,64
