gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
8,expedited,1,34,0.024,8,8
8,expedited,1,35,0.025,9,8
8,expedited,1,36,0.025,8,8
8,expedited,1,37,0.024,9,8
8,expedited,1,38,0.024,10,8
8,expedited,1,39,0.024,8,8
8,expedited,1,40,0.024,9,8
16,expedited,1,1,0.026,8,16
16,expedited,1,2,0.024,10,16
16,expedited,1,3,0.024,12,16
16,expedited,1,4,0.021,8,16
16,expedited,1,5,0.023,9,16
16,expedited,1,6,0.023,10,16
16,expedited,1,7,0.025,10,16
16,expedited,1,8,0.024,10,16
16,expedited,1,9,0.026,11,16
16,expedited,1,10,0.021,8,16
16,expedited,1,11,0.024,9,16
16,expedited,1,12,0.032,9,16
16,expedited,1,13,0.025,9,16
16,expedited,1,14,0.022,9,16
16,expedited,1,15,0.024,8,16
16,expedited,1,16,0.023,11,16
16,expedited,1,17,0.023,9,16
16,expedited,1,18,0.042,9,16
16,expedited,1,19,0.14,9,16
16,expedited,1,20,0.032,10,16
16,expedited,1,21,0.034,8,16
16,expedited,1,22,0.030,8,16
16,expedited,1,23,0.032,8,16
16,expedited,1,24,0.031,8,16
16,expedited,1,25,0.028,9,16
16,expedited,1,26,0.032,9,16
16,expedited,1,27,0.025,8,16
16,expedited,1,28,0.024,9,16
16,expedited,1,29,0.033,9,16
16,expedited,1,30,0.026,9,16
16,expedited,1,31,0.024,9,16
16,expedited,1,32,0.021,9,16
16,expedited,1,33,0.025,8,16
16,expedited,1,34,0.039,9,16
16,expedited,1,35,0.023,9,16
16,expedited,1,36,0.023,10,16
16,expedited,1,37,0.024,9,16
16,expedited,1,38,0.021,8,16
16,expedited,1,39,0.025,8,16
16,expedited,1,40,0.026,8,16
32,expedited,1,1,0.023,8,32
32,expedited,1,2,0.024,8,32
32,expedited,1,3,0.024,11,32
32,expedited,1,4,0.025,10,32
32,expedited,1,5,0.023,10,32
32,expedited,1,6,0.024,10,32
32,expedited,1,7,0.025,9,32
32,expedited,1,8,0.024,8,32
32,expedited,1,9,0.024,8,32
32,expedited,1,10,0.077,8,32
32,expedited,1,11,0.025,8,32
32,expedited,1,12,0.024,8,32
32,expedited,1,13,0.024,11,32
32,expedited,1,14,0.025,9,32
