gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
8,expedited,1,34,0.052,11,8
8,expedited,1,35,0.040,11,8
8,expedited,1,36,0.041,11,8
8,expedited,1,37,0.041,11,8
8,expedited,1,38,0.054,11,8
8,expedited,1,39,0.041,11,8
8,expedited,1,40,0.054,10,8
16,expedited,1,1,0.039,13,16
16,expedited,1,2,0.047,15,16
16,expedited,1,3,0.036,15,16
16,expedited,1,4,0.046,15,16
16,expedited,1,5,0.043,14,16
16,expedited,1,6,0.048,13,16
16,expedited,1,7,0.036,13,16
16,expedited,1,8,0.062,13,16
16,expedited,1,9,0.040,14,16
16,expedited,1,10,0.047,13,16
16,expedited,1,11,0.053,15,16
16,expedited,1,12,0.047,13,16
16,expedited,1,13,0.054,13,16
16,expedited,1,14,0.049,13,16
16,expedited,1,15,0.043,12,16
16,expedited,1,16,0.054,15,16
16,expedited,1,17,0.042,13,16
16,expedited,1,18,0.046,14,16
16,expedited,1,19,0.054,13,16
16,expedited,1,20,0.048,14,16
16,expedited,1,21,0.042,12,16
16,expedited,1,22,0.047,14,16
16,expedited,1,23,0.038,15,16
16,expedited,1,24,0.041,14,16
16,expedited,1,25,0.051,13,16
16,expedited,1,26,0.039,13,16
16,expedited,1,27,0.029,13,16
16,expedited,1,28,0.055,14,16
16,expedited,1,29,0.050,13,16
16,expedited,1,30,0.054,14,16
16,expedited,1,31,0.052,14,16
16,expedited,1,32,0.051,15,16
16,expedited,1,33,0.043,14,16
16,expedited,1,34,0.039,11,16
16,expedited,1,35,0.050,13,16
16,expedited,1,36,0.049,15,16
16,expedited,1,37,0.042,12,16
16,expedited,1,38,0.049,15,16
16,expedited,1,39,0.053,14,16
16,expedited,1,40,0.045,14,16
32,expedited,1,1,0.050,14,32
32,expedited,1,2,0.049,14,32
32,expedited,1,3,0.051,13,32
32,expedited,1,4,0.056,15,32
32,expedited,1,5,0.041,15,32
32,expedited,1,6,0.048,15,32
32,expedited,1,7,0.037,13,32
32,expedited,1,8,0.045,14,32
32,expedited,1,9,0.040,15,32
32,expedited,1,10,0.044,15,32
32,expedited,1,11,0.033,14,32
32,expedited,1,12,0.048,14,32
32,expedited,1,13,0.046,15,32
32,expedited,1,14,0.043,15,32
32,expedited,1,15,0.051,16,32
32,expedited,1,16,0.053,15,32
32,expedited,1,17,0.041,12,32
32,expedited,1,18,0.040,16,32
32,expedited,1,19,0.041,15,32
32,expedited,1,20,0.039,15,32
32,expedited,1,21,0.051,15,32
32,expedited,1,22,0.040,15,32
32,expedited,1,23,0.045,14,32
32,expedited,1,24,0.036,15,32
32,expedited,1,25,0.039,15,32
32,expedited,1,26,0.044,14,32
32,expedited,1,27,0.043,16,32
32,expedited,1,28,0.058,13,32
32,expedited,1,29,0.051,15,32
32,expedited,1,30,0.047,14,32
32,expedited,1,31,0.052,15,32
32,expedited,1,32,0.052,14,32
32,expedited,1,33,0.054,14,32
32,expedited,1,34,0.049,14,32
32,expedited,1,35,0.055,14,32
32,expedited,1,36,0.032,15,32
32,expedited,1,37,0.045,15,32
32,expedited,1,38,0.033,15,32
32,expedited,1,39,0.052,15,32
32,expedited,1,40,0.043,15,32
64,expedited,1,1,0.053,15,64
64,expedited,1,2,0.033,14,64
64,expedited,1,3,0.052,14,64
64,expedited,1,4,0.063,14,64
64,expedited,1,5,0.047,14,64
64,expedited,1,6,0.046,15,64
64,expedited,1,7,0.027,14,64
64,expedited,1,8,0.070,14,64
64,expedited,1,9,0.039,15,64
64,expedited,1,10,0.049,14,64
64,expedited,1,11,0.057,14,64
64,expedited,1,12,0.050,14,64
64,expedited,1,13,0.044,14,64
64,expedited,1,14,0.036,14,64
64,expedited,1,15,0.036,14,64
64,expedited,1,16,0.061,12,64
64,expedited,1,17,0.033,14,64
64,expedited,1,18,0.071,14,64
64,expedited,1,19,0.047,14,64
64,expedited,1,20,0.060,14,64
64,expedited,1,21,0.049,14,64
64,expedited,1,22,0.045,15,64
64,expedited,1,23,0.045,14,64
64,expedited,1,24,0.058,20,64
64,expedited,1,25,0.029,17,64
64,expedited,1,26,0.039,14,64
64,expedited,1,27,0.041,15,64
64,expedited,1,28,0.036,14,64
64,expedited,1,29,0.044,14,64
64,expedited,1,30,0.053,15,64
64,expedited,1,31,0.043,14,64
64,expedited,1,32,0.042,15,64
64,expedited,1,33,0.061,14,64
64,expedited,1,34,0.047,14,64
64,expedited,1,35,0.045,12,64
64,expedited,1,36,0.052,14,64
64,expedited,1,37,0.054,15,64
64,expedited,1,38,0.043,14,64
64,expedited,1,39,0.045,15,64
64,expedited,1,40,0.037,14,64
