gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
16,normal,0,21,20,15,16
16,normal,0,22,15,15,16
16,normal,0,23,9.2,14,16
16,normal,0,24,9.6,15,16
16,normal,0,25,16,14,16
16,normal,0,26,20,13,16
16,normal,0,27,18,15,16
16,normal,0,28,13,14,16
16,normal,0,29,10,16,16
16,normal,0,30,10,15,16
16,normal,0,31,14,14,16
16,normal,0,32,8.0,13,16
16,normal,0,33,14,12,16
16,normal,0,34,12,13,16
16,normal,0,35,23,13,16
16,normal,0,36,6.7,14,16
16,normal,0,37,16,15,16
16,normal,0,38,19,12,16
16,normal,0,39,16,15,16
16,normal,0,40,18,14,16
32,normal,0,1,15,16,32
32,normal,0,2,15,15,32
32,normal,0,3,19,15,32
32,normal,0,4,13,12,32
32,normal,0,5,15,13,32
32,normal,0,6,8.2,14,32
32,normal,0,7,15,17,32
32,normal,0,8,13,15,32
32,normal,0,9,16,15,32
32,normal,0,10,17,15,32
32,normal,0,11,13,13,32
32,normal,0,12,19,14,32
32,normal,0,13,10,15,32
32,normal,0,14,10,13,32
32,normal,0,15,18,15,32
32,normal,0,16,19,13,32
32,normal,0,17,23,15,32
32,normal,0,18,14,16,32
32,normal,0,19,10,15,32
32,normal,0,20,13,13,32
32,normal,0,21,21,14,32
32,normal,0,22,20,14,32
32,normal,0,23,11,15,32
32,normal,0,24,13,16,32
32,normal,0,25,13,16,32
32,normal,0,26,13,19,32
32,normal,0,27,21,15,32
32,normal,0,28,20,14,32
32,normal,0,29,16,15,32
32,normal,0,30,16,14,32
32,normal,0,31,13,15,32
32,normal,0,32,18,16,32
32,normal,0,33,19,15,32
32,normal,0,34,9.1,15,32
32,normal,0,35,13,18,32
32,normal,0,36,12,15,32
32,normal,0,37,14,13,32
32,normal,0,38,12,14,32
32,normal,0,39,16,13,32
32,normal,0,40,13,13,32
64,normal,0,1,14,14,64
64,normal,0,2,8.5,18,64
64,normal,0,3,16,13,64
64,normal,0,4,7.2,13,64
64,normal,0,5,9.6,15,64
64,normal,0,6,14,14,64
64,normal,0,7,8.5,14,64
64,normal,0,8,16,16,64
64,normal,0,9,19,13,64
64,normal,0,10,15,13,64
64,normal,0,11,15,13,64
64,normal,0,12,12,17,64
64,normal,0,13,14,12,64
64,normal,0,14,22,14,64
64,normal,0,15,5.5,14,64
64,normal,0,16,7.9,14,64
64,normal,0,17,8.2,13,64
64,normal,0,18,10,14,64
64,normal,0,19,6.6,14,64
64,normal,0,20,13,15,64
64,normal,0,21,18,16,64
64,normal,0,22,18,16,64
64,normal,0,23,15,14,64
64,normal,0,24,20,14,64
64,normal,0,25,12,16,64
64,normal,0,26,6.9,18,64
64,normal,0,27,7.8,14,64
64,normal,0,28,16,14,64
64,normal,0,29,13,14,64
64,normal,0,30,14,11,64
64,normal,0,31,16,12,64
64,normal,0,32,8.3,13,64
64,normal,0,33,11,16,64
64,normal,0,34,10,14,64
64,normal,0,35,7.0,14,64
64,normal,0,36,9.5,17,64
64,normal,0,37,12,13,64
64,normal,0,38,9.5,14,64
64,normal,0,39,10,14,64
64,normal,0,40,6.8,16,64
