## baseline
gp,pin,rcu,min,p50,mean,p95,max
4,0-3,normal,168.98,190.54,194.41,218.47,224.00
64,0-63,normal,185.34,203.81,203.96,223.51,226.82
## patched
gp,pin,rcu,min,p50,mean,p95,max
4,0-3,normal,122.63,134.38,133.02,140.78,142.40
64,0-63,normal,128.43,137.36,137.98,143.78,164.77
