gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
8,expedited,1,34,0.037,11,8
8,expedited,1,35,0.030,10,8
8,expedited,1,36,0.056,11,8
8,expedited,1,37,0.027,11,8
8,expedited,1,38,0.030,10,8
8,expedited,1,39,0.029,11,8
8,expedited,1,40,0.030,11,8
16,expedited,1,1,0.028,13,16
16,expedited,1,2,0.027,14,16
16,expedited,1,3,0.029,13,16
16,expedited,1,4,0.029,13,16
16,expedited,1,5,0.030,14,16
16,expedited,1,6,0.035,12,16
16,expedited,1,7,0.023,15,16
16,expedited,1,8,0.036,13,16
16,expedited,1,9,0.032,13,16
16,expedited,1,10,0.027,13,16
16,expedited,1,11,0.032,13,16
16,expedited,1,12,0.034,13,16
16,expedited,1,13,0.026,13,16
16,expedited,1,14,0.030,13,16
16,expedited,1,15,0.032,14,16
16,expedited,1,16,0.028,14,16
16,expedited,1,17,0.029,13,16
16,expedited,1,18,0.036,14,16
16,expedited,1,19,0.033,14,16
16,expedited,1,20,0.028,13,16
16,expedited,1,21,0.030,12,16
16,expedited,1,22,0.029,13,16
16,expedited,1,23,0.027,14,16
16,expedited,1,24,0.030,13,16
16,expedited,1,25,0.030,14,16
16,expedited,1,26,0.031,15,16
16,expedited,1,27,0.030,13,16
16,expedited,1,28,0.031,12,16
16,expedited,1,29,0.031,13,16
16,expedited,1,30,0.030,13,16
16,expedited,1,31,0.032,12,16
16,expedited,1,32,0.027,13,16
16,expedited,1,33,0.036,15,16
16,expedited,1,34,0.027,13,16
16,expedited,1,35,0.027,14,16
16,expedited,1,36,0.032,13,16
16,expedited,1,37,0.034,15,16
16,expedited,1,38,0.036,13,16
16,expedited,1,39,0.030,13,16
16,expedited,1,40,0.034,13,16
32,expedited,1,1,0.029,14,32
32,expedited,1,2,0.027,14,32
32,expedited,1,3,0.030,15,32
32,expedited,1,4,0.029,15,32
32,expedited,1,5,0.028,13,32
32,expedited,1,6,0.033,13,32
32,expedited,1,7,0.028,14,32
32,expedited,1,8,0.030,14,32
32,expedited,1,9,0.028,13,32
32,expedited,1,10,0.031,14,32
32,expedited,1,11,0.028,14,32
32,expedited,1,12,0.027,13,32
32,expedited,1,13,0.028,14,32
32,expedited,1,14,0.028,14,32
32,expedited,1,15,0.030,15,32
32,expedited,1,16,0.028,14,32
32,expedited,1,17,0.029,15,32
32,expedited,1,18,0.026,13,32
32,expedited,1,19,0.032,14,32
32,expedited,1,20,0.029,12,32
32,expedited,1,21,0.028,15,32
32,expedited,1,22,0.030,13,32
32,expedited,1,23,0.029,14,32
32,expedited,1,24,0.035,14,32
32,expedited,1,25,0.034,15,32
32,expedited,1,26,0.030,15,32
32,expedited,1,27,0.043,13,32
32,expedited,1,28,0.028,16,32
32,expedited,1,29,0.030,15,32
32,expedited,1,30,0.033,14,32
32,expedited,1,31,0.028,15,32
32,expedited,1,32,0.030,15,32
32,expedited,1,33,0.032,15,32
32,expedited,1,34,0.029,15,32
32,expedited,1,35,0.030,15,32
32,expedited,1,36,0.030,15,32
32,expedited,1,37,0.034,14,32
32,expedited,1,38,0.035,14,32
32,expedited,1,39,0.030,14,32
32,expedited,1,40,0.027,15,32
64,expedited,1,1,0.029,14,64
64,expedited,1,2,0.030,14,64
64,expedited,1,3,0.029,13,64
64,expedited,1,4,0.033,15,64
64,expedited,1,5,0.034,13,64
64,expedited,1,6,0.028,14,64
64,expedited,1,7,0.026,13,64
64,expedited,1,8,0.029,15,64
64,expedited,1,9,0.028,13,64
64,expedited,1,10,0.028,14,64
64,expedited,1,11,0.029,14,64
64,expedited,1,12,0.037,14,64
64,expedited,1,13,0.030,14,64
64,expedited,1,14,0.030,14,64
64,expedited,1,15,0.028,13,64
64,expedited,1,16,0.038,13,64
64,expedited,1,17,0.037,14,64
64,expedited,1,18,0.029,14,64
64,expedited,1,19,0.030,14,64
64,expedited,1,20,0.027,13,64
64,expedited,1,21,0.027,14,64
64,expedited,1,22,0.035,14,64
64,expedited,1,23,0.031,14,64
64,expedited,1,24,0.091,13,64
64,expedited,1,25,0.030,15,64
64,expedited,1,26,0.035,14,64
64,expedited,1,27,0.030,15,64
64,expedited,1,28,0.028,14,64
64,expedited,1,29,0.037,14,64
64,expedited,1,30,0.033,14,64
64,expedited,1,31,0.029,15,64
64,expedited,1,32,0.030,14,64
64,expedited,1,33,0.033,14,64
64,expedited,1,34,0.031,14,64
64,expedited,1,35,0.031,15,64
64,expedited,1,36,0.073,14,64
64,expedited,1,37,0.15,14,64
64,expedited,1,38,0.029,12,64
64,expedited,1,39,0.032,14,64
64,expedited,1,40,0.028,14,64
