gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
16,normal,0,4,7.1,8,16
16,normal,0,5,9.7,8,16
16,normal,0,6,6.1,11,16
16,normal,0,7,5.1,10,16
16,normal,0,8,9.5,10,16
16,normal,0,9,5.5,10,16
16,normal,0,10,7.0,8,16
16,normal,0,11,4.6,8,16
16,normal,0,12,7.8,9,16
16,normal,0,13,6.7,9,16
16,normal,0,14,7.1,9,16
16,normal,0,15,1.1,9,16
16,normal,0,16,4.6,8,16
16,normal,0,17,3.5,9,16
16,normal,0,18,8.0,8,16
16,normal,0,19,3.0,8,16
16,normal,0,20,2.8,9,16
16,normal,0,21,4.1,8,16
16,normal,0,22,8.6,11,16
16,normal,0,23,16,10,16
16,normal,0,24,5.4,9,16
16,normal,0,25,4.7,8,16
16,normal,0,26,6.5,9,16
16,normal,0,27,3.0,8,16
16,normal,0,28,11,9,16
16,normal,0,29,8.8,8,16
16,normal,0,30,3.0,9,16
16,normal,0,31,5.4,8,16
16,normal,0,32,4.7,9,16
16,normal,0,33,6.4,9,16
16,normal,0,34,5.5,10,16
16,normal,0,35,5.0,8,16
16,normal,0,36,6.0,9,16
16,normal,0,37,5.5,8,16
16,normal,0,38,3.6,9,16
16,normal,0,39,3.4,8,16
16,normal,0,40,4.9,9,16
32,normal,0,1,12,9,32
32,normal,0,2,5.5,8,32
32,normal,0,3,5.2,12,32
32,normal,0,4,5.6,9,32
32,normal,0,5,6.7,10,32
32,normal,0,6,4.6,8,32
32,normal,0,7,6.6,9,32
32,normal,0,8,4.2,9,32
32,normal,0,9,6.2,8,32
32,normal,0,10,6.7,9,32
32,normal,0,11,8.3,8,32
32,normal,0,12,6.2,9,32
32,normal,0,13,2.2,8,32
32,normal,0,14,5.5,8,32
32,normal,0,15,7.8,10,32
32,normal,0,16,4.2,9,32
32,normal,0,17,7.4,8,32
32,normal,0,18,4.5,9,32
32,normal,0,19,2.4,8,32
32,normal,0,20,9.4,8,32
32,normal,0,21,4.7,8,32
32,normal,0,22,11,9,32
32,normal,0,23,5.8,8,32
32,normal,0,24,3.7,9,32
32,normal,0,25,4.7,9,32
32,normal,0,26,13,8,32
32,normal,0,27,6.9,9,32
32,normal,0,28,5.2,8,32
32,normal,0,29,4.5,9,32
32,normal,0,30,5.8,9,32
32,normal,0,31,5.5,8,32
32,normal,0,32,6.4,10,32
32,normal,0,33,5.9,8,32
32,normal,0,34,5.2,8,32
32,normal,0,35,6.8,9,32
32,normal,0,36,3.4,8,32
32,normal,0,37,3.0,9,32
32,normal,0,38,4.0,9,32
32,normal,0,39,4.4,9,32
32,normal,0,40,4.0,9,32
64,normal,0,1,8.6,8,64
64,normal,0,2,10,9,64
64,normal,0,3,6.4,8,64
64,normal,0,4,13,9,64
64,normal,0,5,4.2,8,64
64,normal,0,6,5.0,8,64
64,normal,0,7,3.9,10,64
64,normal,0,8,4.8,9,64
64,normal,0,9,8.4,9,64
64,normal,0,10,4.2,9,64
64,normal,0,11,4.7,8,64
64,normal,0,12,2.8,9,64
64,normal,0,13,4.8,8,64
64,normal,0,14,5.6,9,64
64,normal,0,15,9.7,9,64
64,normal,0,16,4.7,8,64
64,normal,0,17,2.2,9,64
64,normal,0,18,4.6,9,64
64,normal,0,19,9.9,10,64
64,normal,0,20,10,10,64
64,normal,0,21,5.1,10,64
64,normal,0,22,4.8,8,64
64,normal,0,23,4.1,9,64
64,normal,0,24,2.0,8,64
64,normal,0,25,3.5,10,64
64,normal,0,26,1.6,10,64
64,normal,0,27,6.2,8,64
