c7i-metal24xl	c7i.metal-24xl	amd64	100.56.241.126
c7g-metal	c7g.metal	arm64	54.87.204.216
c7i-xlarge	c7i.xlarge	amd64	100.53.180.39
c7g-xlarge	c7g.xlarge	arm64	107.20.55.90
