window-c7g-metal	c7g.metal	i-0cd00d26610593349	54.87.204.216	running
window-c7g-xlarge	c7g.xlarge	i-0f82e2a9094b7db36	107.20.55.90	running
window-c7i-metal24xl	c7i.metal-24xl	i-0d55026355e6691c6	100.56.241.126	running
window-c7i-xlarge	c7i.xlarge	i-0d3d70af4ccb2d823	100.53.180.39	running
